                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.432,                 451.06,                 2.7935,                      0,                      0,                      0,                      0,                 1.0056,                 958.79,                0.57771,                  0.001,                  0.001,                  0.001
                      1,                 5.0348,                 412.22,                 3.0599,                      0,                      0,                      0,                      0,                0.96716,                 935.65,                0.55571,              0.0020979,              0.0020979,              0.0020979
                      2,                 4.9098,                 260.07,                 3.0267,                      0,                      0,                      0,                      0,                0.74705,                 388.45,                0.42952,              0.0031937,              0.0031937,              0.0031937
                      3,                 2.6381,                 97.425,                  1.601,                      0,                      0,                      0,                      0,                 0.4896,                 164.33,                 0.2819,              0.0042872,              0.0042872,              0.0042872
                      4,                 2.6849,                 12.884,                 1.6163,                      0,                      0,                      0,                      0,                0.22358,                 5.6907,                0.12914,              0.0053786,              0.0053786,              0.0053786
                      5,                 4.5675,                 4.2095,                 2.6204,                      0,                      0,                      0,                      0,                0.03138,                      0,                 0.0185,              0.0064678,              0.0064678,              0.0064678
                      6,                 4.2503,                  2.918,                  1.701,                      0,                      0,                      0,                      0,                0.00286,                      0,                0.00183,              0.0075549,              0.0075549,              0.0075549
                      7,                 3.8779,                 2.6879,                 1.3562,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0086397,              0.0086397,              0.0086397
                      8,                 3.7406,                 2.5819,                 1.2591,                      0,                      0,                      0,                      0,                0.00838,                 3.5388,                0.00343,              0.0097224,              0.0097224,              0.0097224
                      9,                 3.5061,                 2.4772,                 1.1849,                0.00023,                0.00517,                0.00178,                0.00067,                 4.9237,                 17.212,                  1.692,              0.0099109,              0.0099109,              0.0099109
                     10,                  3.233,                 2.2671,                 1.1251,                0.18444,                0.12736,                0.05498,                0.01282,                 3.3882,                 2.8967,                 1.1771,              0.0099109,              0.0099109,              0.0099109
                     11,                 3.1435,                 2.1496,                 1.0958,                0.13917,                0.22491,                0.05913,                0.01212,                 3.6844,                 2.5515,                  1.219,               0.009901,               0.009901,               0.009901
                     12,                  3.062,                 2.0111,                 1.0853,                0.28873,                0.28719,                0.14811,                0.03213,                 3.2933,                 2.0908,                 1.1445,              0.0098911,              0.0098911,              0.0098911
                     13,                  2.991,                 1.9503,                 1.0606,                0.16605,                0.33454,                0.09409,                0.02346,                 3.0396,                 2.6891,                  1.075,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.9472,                 1.8509,                 1.0491,                0.33062,                0.37227,                 0.2186,                0.05954,                 2.8372,                 2.1746,                 1.0479,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.8916,                 1.8287,                 1.0462,                0.38264,                0.39005,                0.25719,                0.07351,                 2.7701,                 2.1238,                  1.041,              0.0098614,              0.0098614,              0.0098614
                     16,                 2.8649,                 1.7813,                 1.0489,                0.44198,                0.44602,                0.31796,                0.09268,                 2.6837,                 1.8029,                 1.0252,              0.0098515,              0.0098515,              0.0098515
                     17,                 2.8103,                 1.7428,                 1.0335,                0.24512,                0.30838,                0.13251,                0.03183,                  3.121,                 2.3511,                 1.0646,              0.0098416,              0.0098416,              0.0098416
                     18,                 2.8111,                 1.7087,                  1.023,                0.43437,                0.42955,                0.32467,                0.09744,                 2.6455,                 1.8005,                 1.0187,              0.0098317,              0.0098317,              0.0098317
                     19,                 2.7657,                 1.6982,                 1.0236,                0.39821,                0.50533,                0.30995,                0.09159,                 2.6106,                 1.8244,                 1.0126,              0.0098218,              0.0098218,              0.0098218
                     20,                 2.7406,                 1.6348,                 1.0209,                 0.5161,                0.46793,                0.38905,                0.10169,                 2.7942,                 1.5993,                 1.0397,              0.0098119,              0.0098119,              0.0098119
                     21,                 2.7148,                 1.6331,                 1.0108,                0.47794,                0.46459,                0.35413,                0.09987,                 2.7069,                 1.7245,                 1.0247,               0.009802,               0.009802,               0.009802
                     22,                 2.7196,                 1.6127,                 1.0292,                0.48244,                0.51577,                0.36549,                0.10225,                 2.6521,                 1.7519,                 1.0095,              0.0097921,              0.0097921,              0.0097921
                     23,                 2.6928,                 1.5993,                 1.0137,                 0.4949,                0.41797,                0.35518,                0.10478,                 2.7558,                 1.5967,                  1.056,              0.0097822,              0.0097822,              0.0097822
                     24,                 2.6659,                 1.5453,                  1.015,                0.57643,                0.49871,                0.45836,                0.14803,                 2.5038,                 1.4818,                0.99589,              0.0097723,              0.0097723,              0.0097723
                     25,                 2.6101,                 1.5329,                 1.0049,                0.56406,                0.47204,                0.43046,                0.12564,                 2.6761,                 1.5197,                 1.0203,              0.0097624,              0.0097624,              0.0097624
                     26,                 2.6459,                 1.5519,                 1.0029,                0.50134,                0.44557,                0.37532,                0.11362,                 2.6039,                  1.597,                 1.0018,              0.0097525,              0.0097525,              0.0097525
                     27,                 2.6368,                 1.5393,                 1.0012,                0.58911,                0.52352,                0.47437,                 0.1545,                 2.4408,                 1.4486,                0.97665,              0.0097426,              0.0097426,              0.0097426
                     28,                 2.6311,                 1.5257,                 1.0073,                0.58538,                0.51535,                0.48598,                0.15903,                  2.471,                 1.4213,                0.99071,              0.0097327,              0.0097327,              0.0097327
                     29,                 2.5804,                 1.4789,                 1.0006,                0.61497,                 0.5406,                0.49926,                0.15479,                 2.5158,                 1.3856,                0.98655,              0.0097228,              0.0097228,              0.0097228
                     30,                 2.5564,                 1.4771,                0.99471,                0.62302,                0.54979,                0.54011,                 0.1784,                 2.4192,                 1.3362,                  0.973,              0.0097129,              0.0097129,              0.0097129
                     31,                 2.5388,                   1.44,                0.98774,                0.50912,                0.47131,                0.40605,                0.11285,                 2.6509,                 1.4708,                 1.0091,               0.009703,               0.009703,               0.009703
                     32,                 2.5528,                 1.4562,                0.99019,                0.59968,                0.53913,                0.50213,                0.14655,                 2.5686,                 1.4116,                0.99194,              0.0096931,              0.0096931,              0.0096931
                     33,                 2.5129,                 1.4381,                0.98987,                0.55602,                0.49437,                0.46492,                0.14146,                 2.5282,                  1.427,                0.98784,              0.0096832,              0.0096832,              0.0096832
                     34,                 2.5492,                 1.4526,                0.99159,                0.64191,                0.56828,                0.56137,                0.18415,                 2.4005,                 1.2962,                0.96749,              0.0096733,              0.0096733,              0.0096733
                     35,                 2.5351,                 1.4347,                0.98618,                0.63062,                0.58474,                0.54416,                0.17955,                 2.3534,                 1.3128,                 0.9619,              0.0096634,              0.0096634,              0.0096634
                     36,                 2.4728,                 1.3991,                0.97701,                0.63722,                 0.5595,                0.54248,                 0.1717,                 2.4624,                 1.3431,                0.97613,              0.0096535,              0.0096535,              0.0096535
                     37,                 2.4671,                  1.417,                0.97812,                0.60422,                0.57107,                0.50928,                0.16225,                 2.4104,                 1.3416,                0.96711,              0.0096436,              0.0096436,              0.0096436
                     38,                 2.4763,                 1.4178,                0.98241,                0.61969,                0.51546,                0.50256,                0.15447,                 2.5322,                 1.4048,                0.98627,              0.0096337,              0.0096337,              0.0096337
