                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2862,                 430.43,                 2.5983,                      0,                      0,                      0,                      0,                  1.022,                    959,                0.58708,                 0.0011,                 0.0011,                 0.0011
                      1,                 4.6802,                 387.16,                 2.8369,                      0,                      0,                      0,                      0,                0.94335,                 914.58,                0.54208,              0.0022998,              0.0022998,              0.0022998
                      2,                 2.8609,                 230.09,                 1.7443,                      0,                      0,                      0,                      0,                0.71228,                 351.12,                0.40956,              0.0034993,              0.0034993,              0.0034993
                      3,                 2.3955,                 54.157,                 1.4822,                      0,                      0,                      0,                      0,                0.39589,                 140.77,                0.22824,              0.0046986,              0.0046986,              0.0046986
                      4,                 1.8919,                 5.5729,                 1.1005,                      0,                      0,                      0,                      0,                0.12351,                0.09635,                0.07237,              0.0058977,              0.0058977,              0.0058977
                      5,                 5.1583,                 3.8525,                  2.688,                      0,                      0,                      0,                      0,                 0.0064,                      0,                0.00395,              0.0070965,              0.0070965,              0.0070965
                      6,                 4.5118,                 2.9668,                  1.549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0082951,              0.0082951,              0.0082951
                      7,                  4.243,                  2.935,                 1.3774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0094934,              0.0094934,              0.0094934
                      8,                 3.9308,                 2.8215,                 1.3048,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0099921,              0.0099921,              0.0099921
                      9,                 3.6781,                 2.6673,                 1.2359,                 0.0013,                0.00083,                0.00148,                0.00039,                 2.0219,                 4.1231,                0.64152,              0.0099921,              0.0099921,              0.0099921
                     10,                 3.4446,                  2.491,                 1.1834,                0.11454,                0.17492,                0.05002,                 0.0108,                 3.6294,                 2.5764,                 1.2923,              0.0099911,              0.0099911,              0.0099911
