                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4956,                 511.66,                 2.7271,                      0,                      0,                      0,                      0,                 1.1254,                 930.25,                 0.6493,                 0.0011,                 0.0011,                 0.0011
                      1,                 4.7516,                 449.62,                 2.8623,                      0,                      0,                      0,                      0,                 1.0756,                 930.25,                0.62069,              0.0022977,              0.0022977,              0.0022977
                      2,                 3.3133,                 374.61,                 2.0027,                      0,                      0,                      0,                      0,                0.93036,                 310.33,                0.53707,              0.0034931,              0.0034931,              0.0034931
                      3,                 3.3868,                 197.71,                 2.0727,                      0,                      0,                      0,                      0,                0.71429,                 155.44,                0.41313,               0.004686,               0.004686,               0.004686
                      4,                  4.279,                 56.016,                 2.4596,                      0,                      0,                      0,                      0,                0.34179,                0.25911,                0.20071,              0.0058766,              0.0058766,              0.0058766
                      5,                 5.1471,                 6.7057,                 2.6558,                      0,                      0,                      0,                      0,                0.03458,                      0,                0.02181,              0.0070649,              0.0070649,              0.0070649
                      6,                 4.3088,                 3.9124,                 1.4549,                      0,                      0,                      0,                      0,                0.00397,                      0,                0.00284,              0.0082507,              0.0082507,              0.0082507
                      7,                 4.0275,                   3.58,                 1.3548,                      0,                      0,                      0,                      0,                  3e-05,                      0,                  3e-05,              0.0094342,              0.0094342,              0.0094342
                      8,                 3.7957,                 3.3375,                 1.2994,                0.00022,                0.00239,                0.00012,                  3e-05,                 4.9709,                 9.4602,                 1.9123,              0.0099208,              0.0099208,              0.0099208
                      9,                 3.5878,                 3.1433,                  1.232,                0.00371,                0.09008,                0.00485,                0.00115,                 3.8217,                 3.1805,                 1.3623,              0.0099208,              0.0099208,              0.0099208
                     10,                 3.4074,                 2.9198,                 1.1934,                0.02071,                 0.0677,                0.01089,                0.00277,                 3.4812,                 3.0162,                 1.2872,              0.0099109,              0.0099109,              0.0099109
                     11,                 3.3271,                 2.8378,                 1.1865,                0.02368,                 0.1029,                0.01569,                 0.0038,                 3.3876,                 3.4182,                 1.2571,               0.009901,               0.009901,               0.009901
                     12,                 3.2604,                 2.7381,                 1.1556,                0.18684,                0.07606,                0.01007,                0.00211,                 3.7175,                 3.3194,                 1.3291,              0.0098911,              0.0098911,              0.0098911
