                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   2.94,                 2.1656,                0.98363,                0.22513,                 0.1517,                0.12517,                0.02758,                 3.1845,                 1.9937,                 1.0044,             0.00093268,             0.00093268,             0.00093268
                     36,                 2.8892,                 2.1663,                0.97638,                0.18354,                0.16967,                0.13584,                0.03767,                 3.0179,                 1.9819,                0.99046,              0.0009307,              0.0009307,              0.0009307
                     37,                 2.8721,                 2.1327,                0.97219,                0.24282,                  0.189,                0.16489,                0.04521,                 2.9768,                 1.9602,                0.98802,             0.00092872,             0.00092872,             0.00092872
                     38,                 2.8423,                  2.077,                0.97595,                0.24327,                0.22104,                0.19112,                0.06768,                 2.7965,                 1.9459,                0.98048,             0.00092674,             0.00092674,             0.00092674
                     39,                  2.849,                 2.0709,                0.97201,                0.28759,                0.25267,                0.22978,                0.07941,                 2.6345,                 1.7802,                0.95911,             0.00092476,             0.00092476,             0.00092476
                     40,                 2.8525,                 2.0443,                0.97171,                0.28186,                0.23518,                0.22612,                0.07849,                 2.7733,                 1.8404,                0.97931,             0.00092278,             0.00092278,             0.00092278
                     41,                 2.8319,                 2.0412,                0.96863,                 0.3371,                0.24991,                  0.246,                0.09043,                 2.5963,                 1.7542,                0.95543,              0.0009208,              0.0009208,              0.0009208
                     42,                 2.8256,                 1.9724,                0.95509,                 0.3312,                0.27059,                0.26915,                0.08792,                  2.635,                 1.7317,                0.95546,             0.00091882,             0.00091882,             0.00091882
                     43,                 2.7785,                 1.9526,                0.95524,                0.35328,                0.24053,                0.24245,                0.08615,                 2.5951,                 1.7993,                0.95341,             0.00091684,             0.00091684,             0.00091684
                     44,                 2.7927,                 1.9566,                0.96432,                 0.2616,                0.23898,                0.21043,                0.06045,                 3.0616,                  2.027,                 1.0162,             0.00091486,             0.00091486,             0.00091486
                     45,                 2.7601,                 1.9441,                0.96565,                0.30025,                0.27194,                0.24386,                0.08299,                 2.6493,                 1.7129,                0.95884,             0.00091288,             0.00091288,             0.00091288
                     46,                 2.7925,                 1.9449,                 0.9681,                0.32087,                0.26863,                0.25314,                0.09365,                 2.5264,                 1.7247,                0.93894,              0.0009109,              0.0009109,              0.0009109
                     47,                 2.7482,                 1.9125,                0.95627,                0.31851,                 0.3007,                0.27666,                0.10275,                 2.5434,                 1.6542,                0.93879,             0.00090892,             0.00090892,             0.00090892
                     48,                  2.732,                 1.8892,                0.95493,                0.24207,                0.24713,                 0.1949,                0.06984,                 2.6414,                 1.7142,                0.95456,             0.00090694,             0.00090694,             0.00090694
                     49,                 2.7441,                 1.9057,                0.95894,                0.33284,                0.29911,                0.28741,                 0.0948,                 2.6216,                 1.6372,                0.95258,             0.00090496,             0.00090496,             0.00090496
                     50,                 2.6704,                 1.8351,                0.95037,                0.34237,                 0.3185,                0.29498,                0.11187,                 2.4689,                 1.6918,                 0.9336,             0.00090298,             0.00090298,             0.00090298
                     51,                 2.7121,                 1.8306,                0.94418,                0.30236,                0.31089,                0.27497,                0.10239,                 2.5105,                 1.5916,                 0.9347,               0.000901,               0.000901,               0.000901
                     52,                 2.7321,                 1.8427,                0.95414,                0.33318,                 0.3189,                0.30561,                0.11668,                 2.4476,                 1.5299,                0.93136,             0.00089902,             0.00089902,             0.00089902
                     53,                 2.6726,                 1.7927,                 0.9463,                 0.3306,                0.28667,                0.27571,                0.10342,                 2.5468,                 1.5955,                0.94629,             0.00089704,             0.00089704,             0.00089704
                     54,                 2.6467,                 1.7664,                0.94522,                0.35948,                0.30414,                0.31613,                0.12071,                 2.4489,                 1.5469,                0.93229,             0.00089506,             0.00089506,             0.00089506
                     55,                 2.6979,                 1.8075,                0.95091,                0.34145,                0.30003,                0.30028,                0.11391,                 2.4822,                 1.5648,                0.93206,             0.00089308,             0.00089308,             0.00089308
                     56,                 2.6644,                 1.7594,                0.94743,                0.38205,                0.29917,                0.31454,                0.11251,                 2.5872,                 1.5732,                0.94358,              0.0008911,              0.0008911,              0.0008911
                     57,                 2.6675,                 1.7706,                0.94191,                0.38065,                 0.3103,                0.32742,                0.12902,                 2.4351,                 1.5177,                0.92722,             0.00088912,             0.00088912,             0.00088912
                     58,                 2.6417,                 1.7738,                0.93943,                0.36498,                0.31162,                 0.3074,                0.12317,                 2.4349,                 1.5501,                0.92756,             0.00088714,             0.00088714,             0.00088714
                     59,                 2.6564,                 1.7601,                0.94274,                0.33152,                0.29853,                 0.2917,                 0.1107,                 2.5363,                 1.5324,                0.93083,             0.00088516,             0.00088516,             0.00088516
                     60,                 2.6804,                 1.7677,                0.93852,                0.35762,                0.32349,                0.32861,                0.12415,                 2.4772,                 1.5331,                0.93095,             0.00088318,             0.00088318,             0.00088318
                     61,                 2.6595,                 1.7567,                0.94375,                0.37594,                0.31832,                0.34429,                 0.1332,                 2.4158,                 1.4806,                0.92867,              0.0008812,              0.0008812,              0.0008812
                     62,                 2.6297,                 1.7216,                 0.9447,                0.36806,                0.32196,                0.33848,                0.13369,                 2.4185,                 1.5098,                0.92762,             0.00087922,             0.00087922,             0.00087922
                     63,                 2.6344,                 1.6886,                0.94247,                0.37474,                 0.3228,                0.32011,                0.12344,                  2.467,                  1.477,                0.92905,             0.00087724,             0.00087724,             0.00087724
                     64,                 2.6526,                 1.7144,                 0.9367,                0.34404,                0.27506,                0.28692,                0.10841,                 2.4816,                 1.5524,                0.93115,             0.00087526,             0.00087526,             0.00087526
                     65,                 2.6099,                 1.6979,                0.93836,                0.38693,                0.33199,                0.34953,                0.13464,                 2.4664,                 1.4648,                0.93003,             0.00087328,             0.00087328,             0.00087328
