                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.31934,                 272.07,                0.19113,                      0,                      0,                      0,                      0,                0.01188,                  613.5,                0.00673,                0.00022,                0.00022,                0.00022
                      1,                0.33691,                 233.14,                0.19818,                      0,                      0,                      0,                      0,                  0.012,                  600.5,                0.00676,             0.00045909,             0.00045909,             0.00045909
                      2,                0.83222,                 165.83,                 0.3628,                      0,                      0,                      0,                      0,                 0.0089,                    485,                 0.0051,             0.00069723,             0.00069723,             0.00069723
                      3,                 5.2586,                 65.957,                 2.3911,                      0,                      0,                      0,                      0,                0.00061,                 178.62,                0.00047,             0.00093442,             0.00093442,             0.00093442
                      4,                  4.993,                 6.9886,                 1.6232,                      0,                      0,                      0,                      0,                0.00043,                 187.38,                0.00038,              0.0011707,              0.0011707,              0.0011707
                      5,                 4.6236,                 3.7134,                 1.2927,                      0,                      0,                      0,                      0,                0.00066,                 176.33,                0.00054,              0.0014059,              0.0014059,              0.0014059
                      6,                  4.325,                 3.2151,                 1.2256,                      0,                      0,                      0,                      0,                0.00026,                  198.5,                0.00045,              0.0016403,              0.0016403,              0.0016403
                      7,                 4.0762,                 3.0308,                 1.1765,                      0,                      0,                      0,                      0,                 0.0005,                 203.62,                0.00093,              0.0018737,              0.0018737,              0.0018737
                      8,                 3.8878,                 2.8357,                 1.1355,                      0,                      0,                      0,                      0,                0.00026,                 193.38,                0.00037,              0.0019683,              0.0019683,              0.0019683
                      9,                 3.7657,                  2.748,                 1.1179,                0.00011,                0.00196,                 0.0001,                  3e-05,                 4.8282,                 26.191,                 1.5201,              0.0019683,              0.0019683,              0.0019683
                     10,                 3.6237,                 2.6182,                 1.0921,                0.00223,                  0.049,                0.00666,                0.00157,                 4.8299,                 3.9707,                 1.3621,              0.0019644,              0.0019644,              0.0019644
