                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6478,                  1.039,                 1.0728,                0.83683,                0.81148,                0.84261,                0.45927,                 1.4348,                  1.552,                 1.0082,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.6442,                0.99029,                 1.0591,                0.79426,                0.74641,                0.80793,                0.37234,                  1.821,                 1.2044,                 1.1348,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.6392,                 1.0211,                 1.0788,                0.90397,                0.80169,                0.88986,                0.39571,                 1.8519,                 1.1457,                 1.1366,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6634,                 1.0055,                 1.0868,                0.58051,                0.40478,                0.43564,                0.13011,                 2.5503,                 1.9543,                 1.4217,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6243,                 1.0088,                 1.0616,                0.82662,                0.71627,                0.78434,                0.29524,                 2.2272,                 1.3278,                 1.2951,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.6132,                0.99294,                 1.0436,                0.65561,                0.70239,                0.69569,                0.34651,                   1.53,                 1.5356,                 1.0233,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.6156,                 1.0585,                 1.0898,                0.81029,                0.65398,                0.73373,                0.37308,                 1.8116,                 2.5265,                 1.1402,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.6575,                0.96994,                 1.0433,                0.91261,                0.85941,                0.91588,                0.42574,                 1.8267,                0.97325,                 1.1503,               0.009604,               0.009604,               0.009604
                     42,                 1.5749,                0.94648,                 1.0303,                0.40259,                0.14928,                0.11745,                0.02033,                 3.6418,                 2.9999,                 1.8307,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5729,                0.97329,                  1.013,                0.75594,                0.64498,                0.69626,                0.25722,                 2.0943,                 1.5703,                 1.2074,              0.0095842,              0.0095842,              0.0095842
                     44,                  1.497,                0.90762,                 1.0301,                0.93437,                0.85828,                0.93017,                0.48805,                 1.4636,                  1.028,                 1.0229,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5559,                0.95271,                 1.0173,                0.86028,                 0.7365,                 0.7818,                0.29193,                 2.1642,                 1.2527,                 1.2775,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5124,                0.90962,                 1.0467,                0.80657,                0.64644,                0.69368,                0.22841,                 2.4508,                  1.348,                 1.3098,              0.0095545,              0.0095545,              0.0095545
                     47,                  1.488,                0.90783,                  1.037,                0.83878,                0.70239,                0.77292,                0.27476,                 2.2572,                 1.3115,                 1.2958,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.5105,                0.88582,                 1.0299,                0.87576,                0.81531,                0.86995,                0.32579,                 2.0436,                 1.1619,                 1.1881,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4707,                0.88368,                 1.0079,                0.81018,                0.67368,                0.77753,                0.38351,                 1.7671,                  1.318,                 1.0986,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4957,                0.85959,                 1.0298,                0.93956,                  0.889,                0.94671,                0.53992,                 1.3864,                0.86019,                 1.0144,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.5074,                0.87557,                 1.0061,                0.91339,                0.86411,                 0.9314,                 0.5121,                 1.4924,                 0.8783,                  1.019,               0.009505,               0.009505,               0.009505
                     52,                 1.4886,                0.86552,                 1.0364,                0.58703,                  0.489,                0.47942,                0.16038,                 2.5464,                 1.9003,                 1.3669,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5013,                  0.871,                 1.0482,                0.88317,                0.83158,                 0.8928,                0.38364,                 1.8347,                 1.0405,                 1.1083,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.5051,                0.86239,                  1.006,                0.95515,                0.83349,                0.92734,                0.46204,                 1.6198,                0.94421,                 1.0333,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.5634,                0.86751,                 1.0684,                0.65578,                0.57703,                0.57477,                0.17113,                 2.5789,                 1.6668,                 1.3734,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4817,                0.84665,                 1.0028,                0.90794,                0.80766,                0.85597,                0.34761,                 1.8501,                0.95001,                 1.1243,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.5683,                0.88305,                  1.018,                0.61233,                0.55321,                 0.5599,                0.23078,                 2.2467,                 1.4335,                 1.3173,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4898,                 0.8496,                0.98871,                0.85265,                0.76971,                0.82553,                0.37149,                 1.7899,                0.98128,                 1.1185,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4419,                0.83655,                 1.0049,                0.82055,                0.72637,                0.78999,                0.33555,                 1.9196,                 1.0124,                 1.1786,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4776,                0.86361,                 1.0097,                0.89385,                0.87081,                0.91293,                0.51377,                 1.5155,                 1.2499,                 1.0364,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4296,                0.82788,                0.97533,                0.64147,                0.55407,                0.55834,                0.25082,                 1.8434,                 1.4558,                 1.1402,               0.009406,               0.009406,               0.009406
                     62,                 1.4665,                0.94141,                 1.0141,                 0.9259,                0.88708,                0.93869,                0.56289,                 1.3391,                0.84919,                0.97291,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.3637,                0.79323,                0.98501,                0.93049,                 0.9244,                0.95116,                 0.5175,                 1.4809,                0.87654,                 1.0158,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.3949,                0.78248,                0.99259,                0.85443,                0.83126,                0.85116,                0.37252,                 2.1099,                0.98234,                 1.2562,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4482,                0.83427,                 1.0021,                0.94969,                0.86124,                0.93168,                0.45481,                 1.6151,                0.83857,                 1.0517,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.5447,                0.98675,                 1.0208,                0.95657,                0.86412,                0.92959,                0.54045,                 1.3625,                0.91297,                 1.0229,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.3792,                0.78717,                 0.9716,                0.93923,                0.86986,                0.92909,                0.42745,                 1.6676,                0.92507,                  1.075,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.4178,                0.85282,                 1.0019,                0.95378,                0.92808,                0.96498,                0.58569,                 1.3293,                0.70749,                0.98869,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4171,                0.82243,                0.99258,                 0.9654,                0.92249,                0.96352,                0.58307,                 1.2936,                0.69258,                0.98478,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.3756,                0.88119,                0.99837,                0.93411,                0.85263,                0.91728,                0.48249,                 1.5822,                 0.8766,                 1.0467,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4094,                0.80662,                  1.002,                0.91959,                0.87656,                0.92296,                0.54715,                 1.3413,                0.89821,                0.98512,               0.009307,               0.009307,               0.009307
