                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9956,                 1.1042,                0.90693,                0.66458,                0.56496,                0.59768,                0.20103,                 2.4464,                 1.3003,                0.98836,              0.0099456,              0.0099456,              0.0099456
                     36,                 1.9905,                 1.0961,                0.91001,                0.66536,                0.55743,                0.59002,                0.20373,                 2.3188,                 1.2764,                0.98486,              0.0099439,              0.0099439,              0.0099439
                     37,                 1.9784,                 1.0822,                0.90275,                0.71129,                   0.62,                0.66316,                0.25171,                 2.0689,                 1.1183,                0.93611,              0.0099422,              0.0099422,              0.0099422
                     38,                  1.965,                 1.0827,                0.90448,                0.73869,                0.63537,                0.69368,                0.28553,                 1.9442,                 1.0649,                0.91123,              0.0099406,              0.0099406,              0.0099406
                     39,                 1.9664,                 1.0613,                0.90905,                0.72012,                0.62223,                 0.6758,                0.27113,                 2.0186,                 1.0998,                0.92747,               0.009939,               0.009939,               0.009939
                     40,                 1.9667,                 1.0756,                0.90388,                0.75113,                0.64896,                0.71495,                0.29784,                 1.9379,                 1.0167,                0.91476,              0.0099373,              0.0099373,              0.0099373
                     41,                 1.9553,                 1.0527,                0.90324,                0.63265,                 0.5425,                0.55084,                0.17929,                 2.3539,                 1.2568,                 0.9774,              0.0099357,              0.0099357,              0.0099357
                     42,                 1.9496,                 1.0497,                0.90439,                0.75357,                0.66208,                0.72356,                0.29478,                 1.9405,                0.97065,                0.92012,               0.009934,               0.009934,               0.009934
                     43,                 1.9405,                  1.055,                0.89885,                0.74788,                0.62306,                0.69393,                0.30217,                 1.9275,                 1.0892,                 0.9235,              0.0099323,              0.0099323,              0.0099323
                     44,                 1.9582,                  1.064,                0.90165,                0.73109,                0.61997,                0.68078,                0.27739,                 1.9622,                 1.0886,                0.92087,              0.0099307,              0.0099307,              0.0099307
                     45,                 1.9321,                  1.034,                0.90462,                0.68544,                0.58044,                0.63184,                0.23921,                 2.1156,                 1.1665,                0.94142,              0.0099291,              0.0099291,              0.0099291
                     46,                 1.9096,                 1.0195,                0.89837,                0.72628,                0.61266,                0.67635,                0.26615,                 2.0378,                 1.0795,                0.92993,              0.0099274,              0.0099274,              0.0099274
                     47,                 1.9236,                 1.0322,                0.89301,                0.66089,                0.56912,                0.60502,                0.21095,                 2.2008,                 1.2069,                0.95429,              0.0099258,              0.0099258,              0.0099258
                     48,                 1.8968,                 1.0256,                0.89937,                0.68449,                0.57692,                0.62491,                 0.2461,                 2.0581,                 1.1954,                0.94543,              0.0099241,              0.0099241,              0.0099241
                     49,                 1.9091,                 1.0268,                0.89417,                0.76955,                0.67111,                0.74548,                 0.3559,                 1.7943,                0.92021,                0.90206,              0.0099224,              0.0099224,              0.0099224
                     50,                 1.9026,                 1.0149,                0.89513,                0.68119,                 0.5661,                0.61332,                0.23182,                 2.1708,                 1.1395,                0.96233,              0.0099208,              0.0099208,              0.0099208
                     51,                 1.8973,                 1.0203,                0.89644,                0.70145,                0.59526,                0.64907,                0.24511,                 2.1077,                 1.1266,                0.94599,              0.0099191,              0.0099191,              0.0099191
                     52,                 1.8883,                 1.0166,                0.89592,                0.72161,                0.60093,                0.66137,                0.24738,                 2.1505,                  1.146,                0.94153,              0.0099175,              0.0099175,              0.0099175
                     53,                 1.8829,                 1.0081,                0.89265,                0.78407,                0.68947,                0.76378,                0.34085,                 1.8438,                0.93608,                0.90676,              0.0099159,              0.0099159,              0.0099159
                     54,                 1.8705,                 1.0011,                0.89234,                0.73529,                0.61236,                0.68628,                0.27687,                 2.0118,                    1.1,                0.93329,              0.0099142,              0.0099142,              0.0099142
                     55,                 1.8828,                 1.0044,                0.89155,                0.74936,                 0.6215,                0.69712,                0.29662,                 1.9458,                 1.0728,                0.92128,              0.0099126,              0.0099126,              0.0099126
                     56,                 1.8688,                0.98778,                0.89724,                0.65866,                 0.5197,                0.56706,                0.21719,                 2.1163,                 1.3714,                0.94648,              0.0099109,              0.0099109,              0.0099109
                     57,                 1.8369,                0.98003,                0.88737,                0.75955,                0.66102,                0.73239,                0.31663,                 1.9571,                0.96776,                0.92142,              0.0099093,              0.0099093,              0.0099093
                     58,                 1.8476,                0.97993,                 0.8874,                0.74332,                0.62547,                0.69619,                0.27429,                 2.0673,                 1.0557,                0.93079,              0.0099076,              0.0099076,              0.0099076
                     59,                 1.8319,                 0.9719,                0.88735,                0.69533,                0.59564,                0.64237,                 0.2285,                  2.265,                 1.0761,                0.96704,               0.009906,               0.009906,               0.009906
                     60,                 1.8586,                0.98235,                0.89258,                0.77533,                0.66791,                0.73979,                0.31991,                 1.9179,                0.97652,                0.91816,              0.0099043,              0.0099043,              0.0099043
                     61,                 1.8397,                0.96034,                0.88655,                0.74441,                0.65424,                 0.7145,                 0.2925,                 2.0117,                0.98012,                 0.9231,              0.0099026,              0.0099026,              0.0099026
                     62,                 1.8133,                0.95139,                0.88325,                0.77997,                0.69942,                0.76787,                0.33609,                 1.9205,                0.91193,                0.91526,               0.009901,               0.009901,               0.009901
                     63,                 1.8254,                0.96917,                0.88514,                0.74502,                0.65215,                0.71496,                0.29488,                 2.0152,                 1.0073,                0.92974,              0.0098993,              0.0098993,              0.0098993
                     64,                 1.8173,                0.95239,                0.88643,                0.78001,                0.68297,                0.75874,                0.34523,                 1.8131,                0.95131,                0.90392,              0.0098977,              0.0098977,              0.0098977
                     65,                 1.8229,                 0.9579,                0.88736,                0.78936,                0.69752,                0.77335,                0.34998,                 1.8408,                0.89456,                0.89897,              0.0098961,              0.0098961,              0.0098961
                     66,                 1.8024,                0.94353,                0.88017,                0.69517,                 0.6099,                0.64963,                0.22768,                 2.2524,                 1.0925,                0.97258,              0.0098944,              0.0098944,              0.0098944
                     67,                 1.8147,                0.94004,                0.88496,                0.72598,                 0.6124,                0.67773,                0.26455,                 2.0682,                 1.0961,                0.93652,              0.0098928,              0.0098928,              0.0098928
                     68,                 1.8163,                0.94726,                0.88955,                 0.7754,                 0.6752,                0.74966,                0.33598,                 1.8521,                0.95272,                0.90725,              0.0098911,              0.0098911,              0.0098911
                     69,                 1.7963,                0.95187,                0.87721,                0.78113,                 0.6958,                0.76212,                0.33684,                 1.8935,                0.89156,                0.91105,              0.0098894,              0.0098894,              0.0098894
                     70,                  1.812,                0.94647,                0.88688,                0.76398,                0.67749,                 0.7481,                0.33283,                 1.9136,                0.95458,                0.92279,              0.0098878,              0.0098878,              0.0098878
