                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.66532,                 70.876,                0.40746,                      0,                      0,                      0,                      0,                0.13554,                 38.084,                0.07832,               0.003287,               0.003287,               0.003287
                      1,                0.70603,                 25.526,                0.43663,                      0,                      0,                      0,                      0,                0.04002,                0.03309,                0.02354,              0.0066138,              0.0066138,              0.0066138
                      2,                 2.7992,                 4.5972,                 1.6044,                      0,                      0,                      0,                      0,                 4.5295,                 5.7403,                 8.0455,               0.009934,               0.009934,               0.009934
                      3,                 4.4869,                 3.9829,                 1.5768,                0.00046,                0.01453,                0.00026,                  7e-05,                 3.8125,                 4.1064,                 1.6141,              0.0099703,              0.0099703,              0.0099703
                      4,                 4.1621,                  3.605,                 1.3795,                0.00076,                  0.024,                0.00055,                0.00013,                 4.0121,                 4.2508,                 1.3134,              0.0099703,              0.0099703,              0.0099703
                      5,                 3.7863,                 3.3676,                 1.2917,                0.00452,                0.10233,                0.00723,                0.00176,                 3.7924,                 3.5979,                 1.3261,              0.0099604,              0.0099604,              0.0099604
                      6,                 3.6586,                 3.1552,                 1.2411,                0.17905,                0.11082,                  0.012,                0.00318,                 3.3296,                 2.9994,                 1.2208,              0.0099505,              0.0099505,              0.0099505
                      7,                 3.4602,                 2.9971,                 1.2065,                0.02239,                0.07359,                0.01592,                0.00375,                 3.4591,                 2.8429,                 1.2607,              0.0099406,              0.0099406,              0.0099406
