                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6836,                0.86092,                0.86818,                0.81239,                 0.7364,                0.82052,                 0.4292,                 1.5063,                0.86314,                0.81433,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.6644,                0.84882,                0.86298,                 0.8002,                 0.7201,                0.80889,                0.42343,                 1.5241,                0.89983,                0.81261,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.6605,                0.84881,                0.86295,                0.82394,                0.75284,                0.83621,                0.45882,                 1.4056,                0.75299,                0.80161,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.6554,                0.83673,                0.86038,                0.81465,                  0.762,                0.83861,                0.46063,                 1.4013,                0.80625,                0.80143,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6415,                 0.8363,                0.86143,                0.80889,                0.74619,                0.83031,                0.44594,                 1.4691,                0.75413,                0.80807,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.6409,                0.83012,                0.86442,                0.81298,                0.74705,                0.83204,                0.44918,                 1.4303,                0.79244,                0.80432,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.6246,                 0.8233,                0.85918,                0.81153,                0.76833,                 0.8418,                0.46199,                 1.4087,                0.74458,                0.80095,              0.0096139,              0.0096139,              0.0096139
                     41,                  1.635,                0.82055,                0.86068,                0.81322,                0.73928,                0.82795,                0.44868,                 1.4358,                0.75036,                0.80374,               0.009604,               0.009604,               0.009604
                     42,                 1.6287,                0.82102,                0.85889,                0.82367,                0.74436,                0.83193,                0.45101,                 1.4352,                0.77097,                0.80617,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.6259,                0.82211,                0.85958,                0.81754,                0.74085,                0.82888,                0.45028,                 1.4289,                 0.7798,                0.80431,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.6046,                0.80735,                0.85853,                0.82552,                0.74686,                0.83769,                0.46121,                 1.4021,                0.75052,                0.79932,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5952,                0.79717,                0.85786,                0.82618,                0.75996,                0.84414,                0.46583,                 1.3895,                 0.7144,                0.79947,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5924,                 0.8034,                0.85477,                0.82712,                0.77015,                0.85071,                0.47346,                 1.3632,                 0.7013,                0.79784,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5856,                0.79989,                0.85668,                0.82486,                0.77069,                0.85072,                0.47883,                 1.3563,                 0.7294,                 0.7974,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.6004,                0.79773,                0.85782,                0.83356,                0.76943,                0.85363,                0.47963,                 1.3479,                0.71901,                0.79472,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.5755,                0.78549,                0.85422,                0.83546,                0.77336,                0.85625,                0.48513,                 1.3417,                0.68233,                0.79469,              0.0095248,              0.0095248,              0.0095248
                     50,                  1.577,                0.78545,                0.85372,                0.82579,                 0.7748,                0.85362,                0.48214,                 1.3569,                0.71484,                0.79665,              0.0095149,              0.0095149,              0.0095149
                     51,                  1.564,                 0.7853,                0.85295,                0.83355,                 0.7842,                0.86022,                 0.4854,                 1.3437,                0.70218,                0.79487,               0.009505,               0.009505,               0.009505
                     52,                 1.5728,                  0.786,                0.85408,                0.83568,                0.77679,                0.85837,                0.48541,                 1.3364,                 0.6769,                0.79387,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5703,                0.77884,                0.85503,                0.83752,                0.77627,                0.85843,                0.48667,                 1.3409,                0.66159,                0.79366,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.5712,                0.77737,                0.85616,                0.83626,                0.77182,                0.85595,                 0.4847,                 1.3263,                0.67753,                0.79194,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.5497,                0.76784,                0.85087,                0.84146,                0.77425,                 0.8598,                0.49072,                 1.3233,                0.66445,                0.79213,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.5517,                0.77007,                0.85091,                0.83846,                0.78433,                0.86505,                0.49663,                 1.3288,                0.67071,                0.79598,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.5467,                0.76597,                0.85045,                0.83955,                0.78258,                0.86485,                0.49617,                   1.32,                0.68565,                0.79466,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.5503,                0.76686,                0.85163,                 0.8382,                0.77805,                0.86264,                0.49352,                 1.3129,                0.64174,                0.79051,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.5406,                0.76443,                 0.8506,                0.83727,                0.78608,                0.86719,                0.49898,                 1.3001,                0.64652,                0.79184,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.5457,                0.76166,                0.84962,                0.84083,                0.79299,                0.87187,                0.50556,                 1.2885,                0.62092,                 0.7901,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.5373,                0.76018,                0.85005,                0.84827,                0.79283,                 0.8738,                0.50901,                 1.2844,                 0.6162,                0.78811,               0.009406,               0.009406,               0.009406
                     62,                 1.5383,                0.76376,                0.85268,                0.84086,                0.79274,                0.87164,                 0.5063,                 1.2864,                0.62057,                0.78841,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.5343,                 0.7532,                0.85245,                0.84414,                0.78284,                0.86881,                  0.504,                 1.3067,                0.63073,                0.79327,              0.0093862,              0.0093862,              0.0093862
