                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.6532,                 98.795,                 4.1518,                      0,                      0,                      0,                      0,                 3.0239,                  155.8,                 1.8446,              0.0032883,              0.0032883,              0.0032883
                      1,                 4.1596,                 3.4056,                 1.8513,                0.00584,                0.02149,                0.00103,                0.00024,                  3.973,                 8.9687,                 1.6253,              0.0066151,              0.0066151,              0.0066151
                      2,                 3.3041,                 2.5755,                 1.2695,                0.12004,                0.21981,                0.05654,                0.01565,                 2.9559,                  3.344,                 1.2434,              0.0099352,              0.0099352,              0.0099352
                      3,                 2.8953,                 2.2017,                 1.1578,                0.14565,                0.08712,                0.04152,                  0.009,                 4.0578,                 4.8106,                 1.4977,              0.0099703,              0.0099703,              0.0099703
                      4,                 2.6722,                 1.9025,                 1.0989,                0.49706,                0.42759,                0.40838,                 0.1393,                 2.4484,                 2.0111,                 1.1059,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.4557,                 1.6699,                  1.059,                 0.3088,                0.28038,                0.20775,                0.05689,                 2.6575,                 2.0607,                 1.1503,              0.0099604,              0.0099604,              0.0099604
                      6,                 2.3612,                 1.5558,                 1.0425,                0.36346,                0.33171,                0.22937,                0.05332,                 2.9589,                 1.8617,                 1.1958,              0.0099505,              0.0099505,              0.0099505
                      7,                 2.2821,                 1.4648,                 1.0253,                0.57625,                0.50113,                0.49901,                0.15869,                 2.2932,                 1.4098,                 1.0503,              0.0099406,              0.0099406,              0.0099406
                      8,                 2.2093,                 1.4006,                  1.014,                0.67405,                0.58506,                0.62375,                0.25527,                  1.994,                 1.4527,                0.99983,              0.0099307,              0.0099307,              0.0099307
                      9,                 2.1576,                  1.358,                 1.0063,                0.54082,                0.44788,                0.42544,                 0.1236,                 2.6395,                 1.4145,                 1.1154,              0.0099208,              0.0099208,              0.0099208
                     10,                 2.1265,                 1.3309,                 0.9968,                0.59872,                0.49379,                0.50624,                0.18988,                  2.126,                 1.4845,                 1.0232,              0.0099109,              0.0099109,              0.0099109
                     11,                  2.081,                 1.2914,                0.98552,                0.70826,                 0.6287,                0.67315,                0.29322,                 1.8947,                 1.1644,                0.97447,               0.009901,               0.009901,               0.009901
                     12,                 2.0643,                 1.2709,                0.98672,                0.70462,                0.60313,                0.65404,                0.27453,                 1.9601,                 1.2006,                0.98491,              0.0098911,              0.0098911,              0.0098911
                     13,                 2.0272,                 1.2365,                0.97981,                0.71567,                0.62576,                0.67392,                0.29235,                 1.9141,                 1.2039,                0.96997,              0.0098812,              0.0098812,              0.0098812
                     14,                 2.0019,                 1.2168,                0.97303,                0.68877,                0.55666,                0.61099,                0.21915,                 2.2001,                  1.356,                 1.0392,              0.0098713,              0.0098713,              0.0098713
                     15,                 2.0046,                 1.2097,                0.97189,                0.70113,                0.58383,                0.63456,                0.27123,                 1.9617,                 1.2469,                0.98546,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.9855,                  1.195,                0.97049,                0.75824,                0.66942,                0.73519,                0.34816,                 1.7645,                 1.0367,                0.94868,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.9307,                 1.1636,                0.96062,                0.70502,                0.61585,                0.65979,                0.25703,                  2.065,                 1.1252,                 1.0027,              0.0098416,              0.0098416,              0.0098416
                     18,                 1.9258,                 1.1327,                0.95424,                0.58595,                0.45875,                0.45349,                0.13505,                 2.4471,                 1.6437,                 1.0947,              0.0098317,              0.0098317,              0.0098317
                     19,                  1.907,                 1.1291,                0.96028,                0.77832,                0.67862,                0.74764,                0.35883,                 1.7423,                 1.0111,                0.94807,              0.0098218,              0.0098218,              0.0098218
                     20,                 1.9103,                   1.13,                0.95882,                0.75288,                 0.6457,                0.71605,                0.30875,                 1.8861,                 1.0638,                 0.9749,              0.0098119,              0.0098119,              0.0098119
                     21,                   1.89,                 1.1097,                0.95365,                0.77734,                0.68802,                0.76007,                0.37324,                  1.738,                 1.0015,                0.93856,               0.009802,               0.009802,               0.009802
                     22,                 1.8775,                 1.0981,                0.95402,                0.78243,                0.67338,                0.74778,                0.36613,                 1.7354,                  1.019,                0.94016,              0.0097921,              0.0097921,              0.0097921
                     23,                 1.8706,                 1.0882,                 0.9508,                0.72132,                0.63262,                0.69852,                0.32365,                 1.7712,                 1.0869,                0.95124,              0.0097822,              0.0097822,              0.0097822
                     24,                 1.8531,                  1.084,                0.94727,                 0.7512,                0.66818,                0.72809,                0.30705,                 1.8555,                 1.0201,                0.96248,              0.0097723,              0.0097723,              0.0097723
                     25,                 1.8644,                 1.0775,                0.94584,                0.78316,                0.70104,                0.76898,                0.35992,                 1.7294,                0.94934,                0.93726,              0.0097624,              0.0097624,              0.0097624
                     26,                 1.8218,                 1.0451,                0.94132,                0.80045,                0.71904,                0.78702,                0.40072,                 1.6518,                0.93445,                0.92436,              0.0097525,              0.0097525,              0.0097525
                     27,                 1.8104,                 1.0469,                0.94023,                0.80198,                0.71413,                0.78844,                0.40133,                 1.6276,                 0.9245,                 0.9166,              0.0097426,              0.0097426,              0.0097426
                     28,                 1.8202,                 1.0558,                0.94022,                0.78941,                0.72094,                0.78466,                0.38445,                 1.6714,                0.92019,                0.92349,              0.0097327,              0.0097327,              0.0097327
                     29,                 1.7989,                 1.0344,                0.93822,                0.78463,                0.69732,                0.76302,                0.33464,                 1.8147,                 1.0035,                0.94767,              0.0097228,              0.0097228,              0.0097228
                     30,                 1.8099,                 1.0376,                0.93802,                0.80591,                 0.7094,                0.78716,                0.36955,                 1.7304,                0.93675,                0.93947,              0.0097129,              0.0097129,              0.0097129
                     31,                 1.7882,                 1.0161,                0.93366,                0.80058,                0.74323,                0.80185,                0.40694,                  1.605,                0.88958,                0.91569,               0.009703,               0.009703,               0.009703
                     32,                 1.7681,                 1.0062,                0.93315,                0.80185,                0.73708,                0.79749,                0.39727,                   1.63,                0.91694,                0.91778,              0.0096931,              0.0096931,              0.0096931
                     33,                 1.7766,                 1.0017,                0.93172,                0.79068,                0.69423,                0.77382,                0.37313,                 1.6932,                 0.9729,                0.93441,              0.0096832,              0.0096832,              0.0096832
                     34,                 1.7537,                 1.0052,                0.93214,                0.80991,                0.71861,                0.79702,                0.39911,                 1.6137,                 0.9042,                0.91912,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.7567,                0.98972,                0.93071,                0.81378,                0.74722,                0.81192,                0.41553,                 1.6599,                0.88559,                0.92618,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.7573,                0.98345,                 0.9288,                0.77284,                0.67769,                0.74434,                0.32064,                 1.8492,                 1.0216,                0.95547,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.7581,                 0.9893,                0.92873,                 0.8032,                0.71018,                0.79229,                0.38752,                 1.6703,                0.92594,                0.93342,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.7409,                0.98274,                0.92874,                0.80883,                 0.7361,                0.80746,                0.40125,                 1.6548,                0.88671,                0.92116,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.7477,                0.97444,                0.92573,                0.82404,                0.75954,                0.82424,                0.43845,                 1.5479,                0.84577,                0.90447,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.7198,                0.96701,                0.92542,                 0.8137,                0.71456,                  0.795,                 0.3937,                 1.6188,                0.92834,                0.91625,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.7174,                0.95896,                0.92393,                0.82233,                0.73389,                0.81523,                 0.3999,                 1.6473,                0.87364,                0.92182,               0.009604,               0.009604,               0.009604
                     42,                 1.7105,                0.94568,                0.92225,                0.83173,                0.76307,                0.83279,                0.44771,                 1.5172,                0.82903,                0.89946,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.7176,                0.96177,                0.92397,                0.80113,                0.70709,                0.78407,                0.35743,                 1.7418,                0.95218,                0.93932,              0.0095842,              0.0095842,              0.0095842
                     44,                  1.694,                0.94715,                0.92159,                0.82823,                0.75644,                0.83049,                0.43474,                 1.5453,                0.82442,                0.89924,              0.0095743,              0.0095743,              0.0095743
                     45,                  1.704,                0.94449,                0.91818,                0.82032,                 0.7494,                0.82084,                0.40568,                 1.6205,                0.84267,                0.91724,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.6945,                0.94031,                0.91956,                0.83421,                0.76172,                0.83508,                0.43953,                 1.5409,                0.81908,                  0.901,              0.0095545,              0.0095545,              0.0095545
