                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.5522,                  118.2,                 4.0746,                      0,                      0,                      0,                      0,                 2.2369,                 23.918,                 1.3807,              0.0032937,              0.0032937,              0.0032937
                      1,                 4.2948,                 3.3413,                 1.7507,                0.00376,                0.21831,                0.00307,                0.00075,                 3.9836,                 4.9323,                 1.4809,              0.0066248,              0.0066248,              0.0066248
                      2,                  3.289,                  2.611,                  1.237,                0.00322,                0.18889,                0.00192,                0.00058,                 3.1609,                 31.914,                 1.2594,              0.0099537,              0.0099537,              0.0099537
                      3,                 2.8931,                 2.1931,                 1.1394,                0.05064,                0.19423,                 0.0221,                 0.0052,                 3.2237,                 16.404,                 1.4103,              0.0099901,              0.0099901,              0.0099901
                      4,                 2.6489,                 1.9274,                 1.0823,                 0.3144,                0.33961,                0.21905,                0.06491,                 2.4904,                 2.0947,                 1.0716,              0.0099901,              0.0099901,              0.0099901
                      5,                  2.487,                 1.7049,                 1.0483,                0.30189,                0.23874,                0.17495,                0.05019,                 2.8404,                 2.2757,                 1.2071,              0.0099868,              0.0099868,              0.0099868
                      6,                 2.3848,                 1.5594,                 1.0241,                  0.553,                0.46652,                0.45635,                 0.1758,                 2.1837,                 1.5381,                 1.0255,              0.0099835,              0.0099835,              0.0099835
                      7,                 2.3068,                 1.4793,                 1.0142,                0.44059,                0.38853,                0.30542,                0.07468,                 2.7165,                 2.1274,                 1.0994,              0.0099802,              0.0099802,              0.0099802
                      8,                 2.2308,                 1.4122,                 1.0039,                0.67583,                0.58908,                  0.629,                0.26656,                 1.9847,                 1.2104,                0.97394,              0.0099769,              0.0099769,              0.0099769
                      9,                 2.1995,                 1.3699,                 0.9926,                  0.723,                0.58011,                 0.6289,                0.25467,                 2.1451,                 1.3548,                 1.0052,              0.0099736,              0.0099736,              0.0099736
                     10,                  2.168,                 1.3307,                0.98637,                0.65543,                0.55676,                0.59391,                0.23174,                 2.1335,                 1.2362,                 1.0138,              0.0099703,              0.0099703,              0.0099703
                     11,                    2.1,                 1.2835,                0.97965,                0.72116,                0.61831,                0.67557,                0.29247,                 1.9794,                  1.149,                0.96731,               0.009967,               0.009967,               0.009967
                     12,                 2.0824,                 1.2674,                0.97885,                0.66453,                 0.5743,                0.60703,                0.22228,                 2.1978,                 1.2043,                 1.0111,              0.0099637,              0.0099637,              0.0099637
                     13,                  2.049,                 1.2416,                 0.9681,                0.69695,                0.60442,                 0.6409,                0.25283,                 1.9954,                 1.1668,                0.97649,              0.0099604,              0.0099604,              0.0099604
                     14,                 2.0375,                 1.2253,                0.96504,                0.70759,                0.59303,                0.64061,                0.25385,                 2.0436,                 1.1714,                0.99027,              0.0099571,              0.0099571,              0.0099571
                     15,                 2.0017,                 1.1859,                0.96082,                0.72483,                0.64046,                0.68632,                0.28066,                 1.9448,                 1.1504,                0.97425,              0.0099538,              0.0099538,              0.0099538
                     16,                 1.9812,                 1.1862,                 0.9606,                 0.6907,                0.62914,                0.66448,                 0.2596,                   1.99,                 1.1013,                0.96597,              0.0099505,              0.0099505,              0.0099505
                     17,                 1.9599,                 1.1628,                0.95383,                0.74197,                0.63767,                0.70894,                0.33607,                  1.817,                 1.0446,                0.94483,              0.0099472,              0.0099472,              0.0099472
                     18,                 1.9437,                 1.1421,                0.94923,                0.75648,                 0.6369,                0.71543,                0.34031,                 1.8032,                 1.0759,                 0.9473,              0.0099439,              0.0099439,              0.0099439
                     19,                  1.947,                 1.1427,                0.95235,                0.74264,                0.64587,                0.71268,                0.33597,                 1.7996,                 1.0616,                0.94581,              0.0099406,              0.0099406,              0.0099406
                     20,                 1.9287,                 1.1223,                0.94827,                0.75288,                0.67047,                0.73565,                0.35168,                 1.7462,                 1.0168,                  0.931,              0.0099373,              0.0099373,              0.0099373
                     21,                 1.8938,                 1.0974,                0.94171,                0.73423,                0.66275,                0.71263,                0.28963,                 1.8993,                 1.0391,                0.95779,               0.009934,               0.009934,               0.009934
                     22,                 1.9019,                  1.107,                0.94552,                 0.7697,                0.68092,                0.75084,                0.36908,                 1.7026,                0.97324,                0.92126,              0.0099307,              0.0099307,              0.0099307
                     23,                 1.8875,                 1.0907,                 0.9428,                0.77265,                0.70134,                  0.762,                 0.3751,                 1.7076,                0.96689,                0.92053,              0.0099274,              0.0099274,              0.0099274
                     24,                 1.8818,                 1.0849,                0.94188,                0.79407,                 0.7027,                0.76895,                0.37405,                 1.6973,                0.93136,                0.92003,              0.0099241,              0.0099241,              0.0099241
                     25,                 1.8781,                 1.0856,                0.93537,                0.75673,                0.65129,                0.71234,                0.31693,                 1.9221,                 1.1232,                0.96164,              0.0099208,              0.0099208,              0.0099208
                     26,                 1.8443,                 1.0687,                 0.9339,                0.76035,                0.70194,                0.75738,                 0.3519,                 1.7568,                 0.9486,                 0.9266,              0.0099175,              0.0099175,              0.0099175
                     27,                 1.8511,                 1.0644,                0.93847,                0.78733,                0.71343,                0.78149,                 0.3884,                 1.6813,                0.91931,                0.92419,              0.0099142,              0.0099142,              0.0099142
                     28,                 1.8257,                 1.0411,                 0.9343,                0.75372,                 0.6582,                0.71783,                0.30748,                 1.9116,                  1.092,                0.95614,              0.0099109,              0.0099109,              0.0099109
                     29,                 1.8219,                 1.0376,                0.93007,                 0.7916,                0.69878,                0.77124,                 0.3577,                 1.7172,                0.93767,                0.92316,              0.0099076,              0.0099076,              0.0099076
                     30,                 1.7982,                 1.0158,                0.92439,                0.79131,                  0.694,                0.77198,                0.37035,                 1.7293,                0.92716,                0.92729,              0.0099043,              0.0099043,              0.0099043
                     31,                 1.7961,                 1.0143,                0.92419,                0.80973,                0.72724,                0.80177,                 0.4119,                 1.6308,                0.87484,                0.91235,               0.009901,               0.009901,               0.009901
                     32,                 1.7837,                 1.0016,                0.92762,                0.76985,                0.68855,                0.74852,                0.32237,                 1.8794,                0.97104,                0.94409,              0.0098977,              0.0098977,              0.0098977
                     33,                 1.7928,                  1.005,                0.92478,                0.81796,                0.73694,                0.80735,                0.41359,                 1.6181,                0.87065,                0.90516,              0.0098944,              0.0098944,              0.0098944
                     34,                 1.7747,                0.99422,                0.92176,                 0.7805,                 0.7218,                  0.782,                0.36998,                 1.7293,                0.89953,                0.92408,              0.0098911,              0.0098911,              0.0098911
                     35,                 1.7822,                0.99611,                0.92192,                0.80486,                0.73798,                0.80791,                 0.4136,                 1.6104,                0.85013,                0.90569,              0.0098878,              0.0098878,              0.0098878
